length,width,curb-weight,engine-size,horsepower,city-mpg,highway-mpg,wheel-base,bore,drive-wheels,price
0.8111484863046613,0.8902777777777777,2548,130,111,21,27,88.6,3.47,rwd,13495.0
0.8111484863046613,0.8902777777777777,2548,130,111,21,27,88.6,3.47,rwd,16500.0
0.8226814031715521,0.9097222222222222,2823,152,154,19,26,94.5,2.68,rwd,16500.0
0.8486304661220567,0.9194444444444444,2337,109,102,24,30,99.8,3.19,fwd,13950.0
0.8486304661220567,0.9222222222222224,2824,136,115,18,22,99.4,3.19,4wd,17450.0
0.8519942335415667,0.9208333333333332,2507,136,110,19,25,99.8,3.19,fwd,15250.0
0.9259971167707832,0.9916666666666668,2844,136,110,19,25,105.8,3.19,fwd,17710.0
0.9259971167707832,0.9916666666666668,2954,136,110,19,25,105.8,3.19,fwd,18920.0
0.9259971167707832,0.9916666666666668,3086,131,140,17,20,105.8,3.13,fwd,23875.0
0.849591542527631,0.8999999999999999,2395,108,101,23,29,101.2,3.5,rwd,16430.0
0.849591542527631,0.8999999999999999,2395,108,101,23,29,101.2,3.5,rwd,16925.0
0.849591542527631,0.8999999999999999,2710,164,121,21,28,101.2,3.31,rwd,20970.0
0.849591542527631,0.8999999999999999,2765,164,121,21,28,101.2,3.31,rwd,21105.0
0.9082172032676598,0.9291666666666668,3055,164,121,20,25,103.5,3.31,rwd,24565.0
0.9082172032676598,0.9291666666666668,3230,209,182,16,22,103.5,3.62,rwd,30760.0
0.9312830370014415,0.9430555555555556,3380,209,182,16,22,103.5,3.62,rwd,41315.0
0.9466602594906296,0.9847222222222224,3505,209,182,15,20,110.0,3.62,rwd,36880.0
0.6780394041326285,0.8374999999999999,1488,61,48,47,53,88.4,2.91,fwd,5151.0
0.7491590581451226,0.8833333333333333,1874,90,70,38,43,94.5,3.03,fwd,6295.0
0.7630946660259491,0.8833333333333333,1909,90,70,38,43,94.5,3.03,fwd,6575.0
0.7558865929841423,0.8861111111111111,1876,90,68,37,41,93.7,2.97,fwd,5572.0
0.7558865929841423,0.8861111111111111,1876,90,68,31,38,93.7,2.97,fwd,6377.0
0.7558865929841423,0.8861111111111111,2128,98,102,24,30,93.7,3.03,fwd,7957.0
0.7558865929841423,0.8861111111111111,1967,90,68,31,38,93.7,2.97,fwd,6229.0
0.7558865929841423,0.8861111111111111,1989,90,68,31,38,93.7,2.97,fwd,6692.0
0.7558865929841423,0.8861111111111111,1989,90,68,31,38,93.7,2.97,fwd,7609.0
0.7558865929841423,0.8861111111111111,2191,98,102,24,30,93.7,3.03,fwd,8558.0
0.8390197020663143,0.8972222222222221,2535,122,88,24,30,103.3,3.34,fwd,8921.0
0.8322921672272945,0.9208333333333332,2811,156,145,19,24,95.9,3.6,fwd,12964.0
0.6948582412301778,0.8875,1713,92,58,49,54,86.6,2.91,fwd,6479.0
0.6948582412301778,0.8875,1819,92,76,31,38,86.6,2.91,fwd,6855.0
0.7208073041806824,0.8888888888888888,1837,79,60,38,42,93.7,2.91,fwd,5399.0
0.7208073041806824,0.8888888888888888,1940,92,76,30,34,93.7,2.91,fwd,6529.0
0.7208073041806824,0.8888888888888888,1956,92,76,30,34,93.7,2.91,fwd,7129.0
0.7851994233541567,0.8888888888888888,2010,92,76,30,34,96.5,2.91,fwd,7295.0
0.754925516578568,0.8875,2024,92,76,30,34,96.5,2.92,fwd,7295.0
0.8049014896684287,0.9055555555555556,2236,110,86,27,33,96.5,3.15,fwd,7895.0
0.8049014896684287,0.9055555555555556,2289,110,86,27,33,96.5,3.15,fwd,9095.0
0.8428640076886112,0.9055555555555556,2304,110,86,27,33,96.5,3.15,fwd,8845.0
0.8428640076886112,0.8680555555555556,2372,110,86,27,33,96.5,3.15,fwd,10295.0
0.8428640076886112,0.9055555555555556,2465,110,101,24,28,96.5,3.15,fwd,12945.0
0.8125901009130225,0.9166666666666666,2293,110,100,25,31,96.5,3.15,fwd,10345.0
0.8202787121576165,0.8583333333333333,2337,111,78,24,29,94.3,3.31,rwd,6785.0
0.8294089380105718,0.9055555555555556,2734,119,90,24,29,96.0,3.43,rwd,11048.0
0.9591542527630946,0.9666666666666666,4066,258,176,15,19,113.0,3.63,rwd,32250.0
0.9591542527630946,0.9666666666666666,4066,258,176,15,19,113.0,3.63,rwd,35550.0
0.921191734742912,0.9805555555555556,3950,326,262,13,17,102.0,3.54,rwd,36000.0
0.7645362806343105,0.8916666666666667,1890,91,68,30,31,93.1,3.03,fwd,5195.0
0.7645362806343105,0.8916666666666667,1900,91,68,31,38,93.1,3.03,fwd,6095.0
0.7645362806343105,0.8916666666666667,1905,91,68,31,38,93.1,3.03,fwd,6795.0
0.8015377222489188,0.8916666666666667,1945,91,68,31,38,93.1,3.03,fwd,6695.0
0.8015377222489188,0.8916666666666667,1950,91,68,31,38,93.1,3.08,fwd,7395.0
0.8121095627102355,0.9125,2380,70,101,17,23,95.3,3.33,rwd,10945.0
0.8121095627102355,0.9125,2380,70,101,17,23,95.3,3.33,rwd,11845.0
0.8121095627102355,0.9125,2385,70,101,17,23,95.3,3.33,rwd,13645.0
0.8121095627102355,0.9125,2500,80,135,16,23,95.3,3.33,rwd,15645.0
0.8543969245555022,0.9236111111111112,2385,122,84,26,32,98.8,3.39,fwd,8845.0
0.8543969245555022,0.9236111111111112,2410,122,84,26,32,98.8,3.39,fwd,8495.0
0.8543969245555022,0.9236111111111112,2385,122,84,26,32,98.8,3.39,fwd,10595.0
0.8543969245555022,0.9236111111111112,2410,122,84,26,32,98.8,3.39,fwd,10245.0
0.8543969245555022,0.9236111111111112,2443,122,64,36,42,98.8,3.39,fwd,10795.0
0.8543969245555022,0.9236111111111112,2425,122,84,26,32,98.8,3.39,fwd,11245.0
0.8409418548774628,0.9180555555555556,2670,140,120,19,27,104.9,3.76,rwd,18280.0
0.8409418548774628,0.9180555555555556,2700,134,72,31,39,104.9,3.43,rwd,18344.0
0.9173474291206152,0.9763888888888888,3515,183,123,22,25,110.0,3.58,rwd,25552.0
